playerName,team,gamesPlayed,plateApp,atBats,hits,homeRuns
J. Abreu,HOU,22,77,77,7,0
J. Altuve,HOU,37,168,168,50,7
Y. Alvarez,HOU,37,163,163,35,8
J. Amaya,HOU,1,1,1,0,0
A. Bregman,HOU,34,146,146,26,1
T. Cabbage,HOU,5,8,8,2,0
V. Caratini,HOU,17,49,49,11,2
Y. Diaz,HOU,35,141,141,36,3
M. Dubón,HOU,29,85,85,23,1
G. Kessinger,HOU,7,10,10,0,0
J. Loperfido,HOU,7,21,21,6,0
C. McCormick,HOU,21,83,83,17,0
J. Meyers,HOU,30,71,71,16,3
J. Peña,HOU,37,151,151,47,4
J. Singleton,HOU,25,82,82,17,4
K. Tucker,HOU,37,165,165,37,11
J. Báez,DET,32,117,117,19,1
M. Canha,DET,34,139,139,29,5
K. Carpenter,DET,36,117,117,28,3
J. Foley,DET,1,0,0,0,0
R. Greene,DET,37,161,161,34,9
A. Ibáñez,DET,15,41,41,13,2
C. Keith,DET,32,116,116,17,0
C. Kelly,DET,23,63,63,10,1
B. Kennedy,DET,6,13,13,2,1
Z. McKinstry,DET,26,63,63,13,0
P. Meadows,DET,32,85,85,7,2
W. Pérez,DET,21,71,71,18,3
J. Rogers,DET,24,81,81,14,2
S. Torkelson,DET,35,152,152,30,0
G. Urshela,DET,18,58,58,17,0
M. Vierling,DET,33,108,108,29,3
R. Vilade,DET,2,6,6,2,0
M. Amaya,CHC,25,83,83,14,1
C. Bellinger,CHC,24,105,105,22,6
M. Busch,CHC,36,139,139,32,7
A. Canario,CHC,13,25,25,6,1
G. Cooper,CHC,12,41,41,10,1
P. Crow-Armstrong,CHC,15,46,46,9,1
Y. Gomes,CHC,19,55,55,11,2
I. Happ,CHC,35,153,153,29,1
N. Hoerner,CHC,37,161,161,39,1
N. Madrigal,CHC,33,49,49,10,0
M. Mastrobuoni,CHC,9,15,15,0,0
M. Mervis,CHC,9,28,28,3,0
C. Morel,CHC,37,153,153,28,8
S. Suzuki,CHC,15,68,68,18,3
D. Swanson,CHC,37,144,144,27,4
M. Tauchman,CHC,34,127,127,28,3
P. Wisdom,CHC,10,29,29,6,1
J. Bart,PIT,15,49,49,8,3
O. Cruz,PIT,37,144,144,34,5
H. Davis,PIT,23,83,83,11,0
J. Delay,PIT,1,5,5,0,0
Y. Grandal,PIT,3,10,10,1,0
K. Hayes,PIT,34,149,149,31,1
C. Joe,PIT,33,124,124,32,3
A. McCutchen,PIT,28,114,114,18,3
E. Olivares,PIT,24,88,88,18,4
B. Reynolds,PIT,38,168,168,35,4
J. Suwinski,PIT,37,120,120,19,2
Michael A. Taylor,PIT,30,97,97,19,0
R. Tellez,PIT,36,106,106,19,1
J. Triolo,PIT,34,136,136,25,1
A. Williams,PIT,15,51,51,11,0
J. Berti,NYY,9,29,29,7,0
O. Cabrera,NYY,35,130,130,31,4
T. Grisham,NYY,15,34,34,2,1
J. Jones,NYY,10,6,6,1,0
A. Judge,NYY,39,175,175,34,9
A. Rizzo,NYY,38,159,159,37,6
K. Smith,NYY,1,0,0,0,0
J. Soto,NYY,39,178,178,49,9
G. Stanton,NYY,34,137,137,28,8
G. Torres,NYY,39,164,164,31,1
T. Trammell,NYY,5,2,2,1,0
J. Trevino,NYY,22,72,72,18,2
A. Verdugo,NYY,36,150,150,33,5
A. Volpe,NYY,38,171,171,38,5
A. Wells,NYY,23,78,78,12,1
R. Arozarena,TBR,37,154,154,20,6
J. Caballero,TBR,34,131,131,30,2
J. DeLuca,TBR,6,23,23,7,1
Y. Díaz,TBR,37,163,163,34,1
N. Goodrum,TBR,9,18,18,3,0
A. Jackson,TBR,4,10,10,1,0
B. Lowe,TBR,8,30,30,5,1
J. Lowe,TBR,3,10,10,3,0
C. Mead,TBR,26,94,94,19,1
R. Palacios,TBR,30,101,101,23,3
I. Paredes,TBR,35,150,150,39,8
R. Pinto,TBR,19,49,49,9,2
H. Ramírez,TBR,34,131,131,37,1
B. Rortvedt,TBR,26,74,74,21,0
A. Rosario,TBR,33,126,126,37,2
A. Shenton,TBR,15,42,42,6,1
J. Siri,TBR,32,108,108,16,2
B. Alexander,ARI,27,83,83,20,3
T. Barnhart,ARI,14,45,45,8,0
J. Barrosa,ARI,3,10,10,2,0
C. Carroll,ARI,36,160,160,29,2
L. Frías,ARI,1,0,0,0,0
K. Ginkel,ARI,1,0,0,0,0
R. Grichuk,ARI,20,55,55,13,1
L. Gurriel,ARI,34,154,154,34,5
B. Jarvis,ARI,2,0,0,0,0
J. Mantiply,ARI,1,0,0,0,0
K. Marte,ARI,38,169,169,45,7
J. Martinez,ARI,1,0,0,0,0
J. McCarthy,ARI,31,90,90,23,0
S. McGough,ARI,2,1,1,0,0
G. Moreno,ARI,30,104,104,23,0
K. Newman,ARI,23,66,66,12,2
J. Pederson,ARI,33,107,107,26,4
G. Perdomo,ARI,7,27,27,6,0
J. Peterson,ARI,14,26,26,1,0
P. Smith,ARI,13,30,30,6,1
E. Suárez,ARI,37,154,154,31,3
A. Thomas,ARI,4,14,14,3,1
C. Walker,ARI,38,164,164,38,7
D. Bañuelos,BAL,1,1,1,0,0
M. Baumann,BAL,1,0,0,0,0
D. Coulombe,BAL,1,0,0,0,0
C. Cowser,BAL,34,107,107,26,6
A. Hays,BAL,19,50,50,5,0
J. Heasley,BAL,1,0,0,0,0
G. Henderson,BAL,36,163,163,39,11
J. Holliday,BAL,10,36,36,2,0
T. Kemp,BAL,5,10,10,0,0
C. Kimbrel,BAL,1,0,0,0,0
H. Kjerstad,BAL,6,14,14,2,0
J. Mateo,BAL,23,64,64,14,2
J. McCann,BAL,16,58,58,13,1
R. McKenna,BAL,7,9,9,3,2
R. Mountcastle,BAL,33,142,142,36,6
C. Mullins,BAL,35,127,127,23,6
R. O'Hearn,BAL,25,89,89,23,5
A. Rutschman,BAL,35,158,158,47,5
A. Santander,BAL,35,147,147,28,6
A. Suárez,BAL,1,0,0,0,0
R. Urías,BAL,20,55,55,10,1
J. Webb,BAL,1,0,0,0,0
J. Westburg,BAL,34,137,137,36,6
B. Buxton,MIN,28,100,100,23,1
J. Camargo,MIN,2,5,5,0,0
W. Castro,MIN,37,138,138,34,3
C. Correa,MIN,20,82,82,18,2
K. Farmer,MIN,31,75,75,10,0
R. Jeffers,MIN,33,131,131,34,8
E. Julien,MIN,37,138,138,24,7
M. Kepler,MIN,21,82,82,24,3
A. Kirilloff,MIN,33,112,112,22,2
T. Larnach,MIN,17,61,61,19,3
R. Lewis,MIN,1,2,2,2,1
M. Margot,MIN,32,79,79,12,1
A. Martin,MIN,26,76,76,16,1
J. Miranda,MIN,24,80,80,22,2
C. Santana,MIN,34,134,134,23,4
C. Vázquez,MIN,22,76,76,14,1
M. Wallner,MIN,13,33,33,2,1
A. Barger,TOR,5,18,18,1,0
B. Bichette,TOR,34,142,142,25,1
C. Biggio,TOR,29,93,93,16,1
E. Clement,TOR,28,65,65,16,2
C. Green,TOR,1,0,0,0,0
V. Guerrero,TOR,37,163,163,35,4
D. Jansen,TOR,15,52,52,14,3
K. Kiermaier,TOR,25,73,73,15,1
I. Kiner-Falefa,TOR,36,109,109,26,1
A. Kirk,TOR,23,85,85,15,1
D. Schneider,TOR,30,94,94,22,3
B. Serven,TOR,7,10,10,0,0
G. Springer,TOR,35,156,156,29,3
J. Turner,TOR,34,131,131,31,4
D. Varsho,TOR,35,125,125,25,6
D. Vogelbach,TOR,14,34,34,3,0
C. Abrams,WSN,33,152,152,37,7
R. Adams,WSN,17,66,66,13,2
A. Call,WSN,7,21,21,5,0
J. Gallo,WSN,23,91,91,9,3
L. García,WSN,31,115,115,34,3
T. Lipscomb,WSN,27,102,102,22,1
J. Meneses,WSN,32,141,141,27,0
D. Millas,WSN,2,6,6,1,0
N. Nuñez,WSN,9,3,3,0,0
V. Robles,WSN,4,5,5,0,0
E. Rosario,WSN,28,93,93,12,3
K. Ruiz,WSN,19,81,81,11,2
N. Senzel,WSN,19,80,80,15,5
L. Thomas,WSN,22,96,96,16,2
I. Vargas,WSN,21,68,68,19,0
J. Winker,WSN,35,147,147,31,4
J. Young,WSN,28,96,96,25,0
W. Abreu,BOS,31,114,114,27,2
I. Campbell,BOS,2,0,0,0,0
T. Casas,BOS,22,90,90,19,6
G. Cooper,BOS,6,23,23,2,0
B. Dalbec,BOS,22,59,59,7,0
R. Devers,BOS,26,116,116,28,4
J. Duran,BOS,37,172,172,41,1
R. Gonzalez,BOS,3,9,9,2,0
V. Grissom,BOS,4,17,17,2,0
D. Hamilton,BOS,16,47,47,9,1
T. Heineman,BOS,1,2,2,0,0
K. Jansen,BOS,1,0,0,0,0
C. Martin,BOS,1,0,0,0,0
R. McGuire,BOS,26,73,73,17,2
T. O'Neill,BOS,28,117,117,28,9
C. Rafaela,BOS,37,136,136,27,3
R. Refsnyder,BOS,14,46,46,13,1
P. Reyes,BOS,21,64,64,11,0
Z. Short,BOS,2,7,7,0,0
D. Smith,BOS,5,21,21,4,0
T. Story,BOS,8,34,34,7,0
E. Valdez,BOS,28,98,98,14,2
J. Winckowski,BOS,1,0,0,0,0
C. Wong,BOS,24,87,87,29,5
M. Yoshida,BOS,24,89,89,22,2
R. Acuña,ATL,34,157,157,35,2
O. Albies,ATL,26,118,118,31,2
O. Arcia,ATL,34,134,134,34,3
T. d'Arnaud,ATL,30,94,94,22,5
A. Duvall,ATL,20,59,59,11,2
D. Fletcher,ATL,5,9,9,2,0
L. Guillorme,ATL,9,21,21,3,0
M. Harris,ATL,34,144,144,35,3
J. Kelenic,ATL,28,83,83,22,1
S. Murphy,ATL,1,3,3,0,0
M. Olson,ATL,34,147,147,25,3
M. Ozuna,ATL,34,144,144,40,12
A. Riley,ATL,34,153,153,34,3
C. Tromp,ATL,13,34,34,7,0
F. Wall,ATL,2,1,1,0,0
L. Williams,ATL,4,1,1,0,0
P. Alonso,NYM,36,155,155,29,9
F. Alvarez,NYM,16,59,59,13,1
H. Bader,NYM,30,105,105,28,1
B. Baty,NYM,34,124,124,29,3
F. Lindor,NYM,36,159,159,30,6
S. Marte,NYM,32,145,145,36,4
J. Martinez,NYM,12,41,41,11,0
J. McNeil,NYM,35,140,140,31,1
O. Narváez,NYM,17,46,46,8,0
T. Nido,NYM,13,37,37,8,1
B. Nimmo,NYM,35,162,162,30,5
Z. Short,NYM,10,12,12,1,0
D. Stewart,NYM,28,85,85,12,4
T. Taylor,NYM,26,78,78,21,2
M. Vientos,NYM,3,7,7,3,1
J. Wendle,NYM,14,33,33,8,0
A. Bohm,PHI,37,150,150,46,4
N. Castellanos,PHI,38,152,152,29,2
K. Clemens,PHI,4,11,11,4,2
B. Harper,PHI,34,148,148,32,9
B. Marsh,PHI,35,128,128,30,6
W. Merrifield,PHI,19,64,64,14,2
C. Pache,PHI,10,23,23,2,0
J. Realmuto,PHI,32,136,136,33,5
J. Rojas,PHI,31,110,110,22,1
K. Schwarber,PHI,38,176,176,31,9
E. Sosa,PHI,13,38,38,9,1
B. Stott,PHI,34,128,128,27,3
G. Stubbs,PHI,8,26,26,3,0
T. Turner,PHI,33,148,148,47,2
T. Anderson,MIA,35,124,124,24,0
L. Arráez,MIA,33,148,148,41,0
J. Bell,MIA,39,163,163,29,4
C. Bethancourt,MIA,20,48,48,4,0
J. Bride,MIA,7,13,13,2,0
V. Bruján,MIA,29,71,71,17,0
J. Burger,MIA,19,76,76,14,3
J. Chisholm,MIA,38,156,156,33,5
B. De,MIA,39,168,168,42,8
N. Fortes,MIA,28,74,74,9,1
A. García,MIA,18,51,51,12,2
N. Gordon,MIA,34,96,96,18,5
O. Lopez,MIA,13,22,22,6,1
D. Myers,MIA,8,19,19,6,0
J. Pereda,MIA,3,5,5,0,0
E. Rivera,MIA,28,84,84,15,0
J. Sánchez,MIA,33,106,106,23,2
G. Arias,CLE,23,75,75,17,1
W. Brennan,CLE,33,112,112,26,4
E. Florial,CLE,25,81,81,14,3
T. Freeman,CLE,33,122,122,20,3
D. Fry,CLE,24,77,77,19,2
A. Giménez,CLE,36,159,159,35,1
A. Hedges,CLE,11,33,33,5,1
S. Kwan,CLE,32,145,145,47,3
R. Laureano,CLE,25,74,74,9,1
K. Manzardo,CLE,4,12,12,2,0
B. Naylor,CLE,30,107,107,18,3
J. Naylor,CLE,36,151,151,36,10
J. Ramírez,CLE,37,163,163,36,8
B. Rocchio,CLE,34,124,124,23,0
A. Benintendi,CHW,34,138,138,25,3
O. Colás,CHW,1,1,1,0,0
P. DeJong,CHW,33,106,106,24,5
D. Fletcher,CHW,20,66,66,12,0
R. Grossman,CHW,25,85,85,15,0
E. Jiménez,CHW,25,103,103,21,4
K. Lee,CHW,25,70,70,18,3
N. Lopez,CHW,31,117,117,21,0
M. Maldonado,CHW,23,69,69,6,1
D. Mendick,CHW,10,41,41,10,1
Y. Moncada,CHW,11,44,44,11,0
R. Ortega,CHW,10,10,10,0,0
T. Pham,CHW,12,50,50,15,2
K. Pillar,CHW,17,32,32,4,1
B. Ramos,CHW,6,20,20,7,0
Z. Remillard,CHW,2,5,5,1,0
L. Robert,CHW,7,29,29,6,2
G. Sheets,CHW,33,129,129,28,3
B. Shewmake,CHW,24,60,60,8,1
L. Sosa,CHW,12,40,40,5,0
A. Vaughn,CHW,36,146,146,26,0
N. Arenado,STL,37,158,158,40,2
A. Burleson,STL,30,93,93,23,3
D. Carlson,STL,4,12,12,0,0
M. Carpenter,STL,3,11,11,3,0
W. Contreras,STL,31,128,128,30,6
B. Crawford,STL,8,25,25,2,0
B. Donovan,STL,36,163,163,31,4
J. Fermín,STL,8,14,14,3,0
R. Fernandez,STL,1,0,0,0,0
P. Goldschmidt,STL,35,152,152,26,2
N. Gorman,STL,33,129,129,20,4
R. Helsley,STL,1,0,0,0,0
I. Herrera,STL,24,76,76,16,3
L. Nootbaar,STL,24,101,101,16,3
P. Pagés,STL,6,8,8,0,0
J. Romero,STL,1,0,0,0,0
V. Scott,STL,20,65,65,5,0
M. Siani,STL,32,64,64,12,0
J. Walker,STL,20,67,67,9,0
M. Winn,STL,34,117,117,27,0
W. Adames,MIL,37,164,164,36,7
J. Bauers,MIL,25,80,80,15,3
T. Black,MIL,7,23,23,5,0
J. Chourio,MIL,33,122,122,25,4
W. Contreras,MIL,37,169,169,50,5
O. Dunn,MIL,30,83,83,17,1
S. Frelick,MIL,35,142,142,31,0
R. Hoskins,MIL,34,143,143,27,8
O. Miller,MIL,7,12,12,1,0
A. Monasterio,MIL,6,13,13,1,0
J. Ortiz,MIL,31,90,90,20,3
B. Perkins,MIL,29,121,121,26,4
G. Sánchez,MIL,23,67,67,13,5
B. Turang,MIL,35,135,135,38,2
J. Wiemer,MIL,16,24,24,4,0
C. Yelich,MIL,13,55,55,16,5
E. Carter,TEX,36,141,141,27,5
E. Duran,TEX,24,67,67,16,0
J. Foscue,TEX,2,2,2,1,0
A. García,TEX,38,159,159,38,8
R. Grossman,TEX,1,2,2,0,0
J. Heim,TEX,33,129,129,36,4
S. Huff,TEX,1,0,0,0,0
T. Jankowski,TEX,23,44,44,11,1
J. Jung,TEX,4,19,19,7,2
A. Knizner,TEX,16,37,37,5,1
W. Langford,TEX,31,129,129,26,1
J. Leclerc,TEX,1,0,0,0,0
N. Lowe,TEX,18,80,80,22,1
J. Ornelas,TEX,1,1,1,0,0
D. Robertson,TEX,1,0,0,0,0
C. Seager,TEX,35,155,155,32,3
M. Semien,TEX,39,180,180,48,7
J. Smith,TEX,38,132,132,33,2
L. Taveras,TEX,36,136,136,31,2
J. Ureña,TEX,1,0,0,0,0
J. Walsh,TEX,17,60,60,12,1
D. Wendzel,TEX,15,24,24,2,1
O. White,TEX,1,0,0,0,0
K. Yates,TEX,2,0,0,0,0
J. Beck,COL,9,32,32,5,0
C. Blackmon,COL,30,117,117,26,1
S. Bouchard,COL,14,49,49,12,1
K. Bryant,COL,13,55,55,7,1
J. Cave,COL,23,38,38,7,0
E. Díaz,COL,33,131,131,37,3
B. Doyle,COL,36,144,144,37,4
K. Freeland,COL,1,0,0,0,0
H. Goodman,COL,6,18,18,1,1
N. Jones,COL,26,103,103,16,1
J. Lawrence,COL,1,0,0,0,0
R. McMahon,COL,37,161,161,40,5
E. Montero,COL,32,123,123,23,2
B. Rodgers,COL,33,123,123,28,1
J. Stallings,COL,15,47,47,13,2
M. Toglia,COL,15,49,49,5,4
E. Tovar,COL,36,157,157,39,3
A. Trejo,COL,12,25,25,2,0
D. Blanco,KCR,25,34,34,9,1
F. Fermin,KCR,20,63,63,14,1
A. Frazier,KCR,30,90,90,13,0
M. Garcia,KCR,38,170,170,38,4
G. Hampson,KCR,29,43,43,11,0
K. Isbel,KCR,34,112,112,23,3
N. Loftin,KCR,13,35,35,8,0
M. Massey,KCR,18,66,66,16,3
J. McArthur,KCR,1,0,0,0,0
M. Melendez,KCR,34,119,119,20,4
V. Pasquantino,KCR,37,153,153,33,5
S. Perez,KCR,37,147,147,44,8
H. Renfroe,KCR,34,113,113,15,3
N. Velázquez,KCR,32,113,113,21,2
B. Witt,KCR,39,170,170,48,5
J. Adell,LAA,31,94,94,22,5
E. Adrianza,LAA,8,28,28,5,1
W. Calhoun,LAA,7,28,28,7,0
B. Drury,LAA,30,113,113,18,1
L. Guillorme,LAA,1,4,4,1,0
A. Hicks,LAA,18,63,63,8,1
M. Moniak,LAA,30,89,89,16,2
Z. Neto,LAA,37,138,138,32,3
L. O'Hoppe,LAA,33,121,121,31,2
K. Paris,LAA,1,1,1,0,0
K. Pillar,LAA,6,17,17,5,2
A. Rendon,LAA,19,83,83,20,0
L. Rengifo,LAA,28,99,99,30,2
M. Sanó,LAA,21,71,71,16,1
N. Schanuel,LAA,33,131,131,27,3
M. Thaiss,LAA,11,32,32,6,0
M. Trout,LAA,29,126,126,24,10
C. Tucker,LAA,9,29,29,5,0
T. Ward,LAA,37,157,157,39,7
N. Allen,OAK,28,77,77,12,1
J. Bleday,OAK,39,146,146,32,4
S. Brown,OAK,35,105,105,18,3
L. Butler,OAK,37,105,105,16,2
J. Davis,OAK,20,77,77,16,2
Z. Gelof,OAK,24,101,101,18,3
B. Harris,OAK,7,31,31,4,3
D. Hernaiz,OAK,29,75,75,12,0
S. Langeliers,OAK,34,127,127,24,9
K. McCann,OAK,12,35,35,11,3
T. Nevin,OAK,31,114,114,26,4
R. Noda,OAK,30,100,100,11,1
B. Rooker,OAK,27,108,108,26,9
E. Ruiz,OAK,21,57,57,11,2
M. Schuemann,OAK,20,46,46,8,1
T. Soderstrom,OAK,1,5,5,2,1
A. Toro,OAK,36,134,134,36,3
D. Canzone,SEA,14,35,35,7,3
J. Clase,SEA,9,28,28,6,0
J. Crawford,SEA,22,98,98,17,2
T. France,SEA,34,133,133,29,2
M. Garver,SEA,32,128,128,19,4
S. Haggerty,SEA,6,10,10,0,0
M. Haniger,SEA,35,139,139,27,5
D. Moore,SEA,28,95,95,16,2
J. Polanco,SEA,38,158,158,25,5
C. Raleigh,SEA,34,131,131,24,9
L. Raley,SEA,28,73,73,17,1
L. Rivas,SEA,3,6,6,2,0
J. Rodríguez,SEA,38,161,161,39,1
J. Rojas,SEA,29,105,105,32,3
S. Taylor,SEA,3,5,5,2,0
L. Urías,SEA,23,60,60,9,3
S. Zavala,SEA,10,27,27,5,0
A. Barnes,LAD,12,36,36,6,0
M. Betts,LAD,39,182,182,53,6
F. Freeman,LAD,39,174,174,43,3
E. Hernández,LAD,28,84,84,16,1
T. Hernández,LAD,39,163,163,39,10
J. Heyward,LAD,4,15,15,3,0
G. Lux,LAD,27,97,97,17,1
M. Muncy,LAD,34,141,141,30,9
S. Ohtani,LAD,38,175,175,54,11
J. Outman,LAD,30,104,104,15,3
A. Pages,LAD,20,85,85,24,4
M. Rojas,LAD,25,64,64,15,2
W. Smith,LAD,32,142,142,41,4
C. Taylor,LAD,25,68,68,4,0
T. Trammell,LAD,5,6,6,0,0
L. Arráez,SDP,5,22,22,8,0
J. Azocar,SDP,30,48,48,14,0
M. Batten,SDP,1,3,3,1,0
X. Bogaerts,SDP,38,167,167,33,2
L. Campusano,SDP,34,124,124,32,2
J. Cronenworth,SDP,37,165,165,42,6
K. Higashioka,SDP,11,31,31,6,1
H. Kim,SDP,40,166,166,30,5
M. Machado,SDP,35,150,150,35,5
J. Merrill,SDP,38,136,136,34,2
G. Pauley,SDP,13,32,32,4,2
J. Profar,SDP,40,154,154,44,6
E. Rosario,SDP,28,52,52,12,3
D. Solano,SDP,2,8,8,3,0
B. Sullivan,SDP,3,2,2,0,0
F. Tatis,SDP,40,177,177,40,7
T. Wade,SDP,31,77,77,17,0
W. Benson,CIN,35,133,133,23,4
J. Candelario,CIN,31,124,124,24,4
E. De,CIN,37,150,150,34,8
C. Encarnacion-Strand,CIN,29,123,123,22,2
S. Espinal,CIN,28,93,93,13,1
S. Fairchild,CIN,27,77,77,13,1
M. Ford,CIN,2,5,5,1,0
J. Fraley,CIN,25,80,80,21,1
T. Friedl,CIN,3,13,13,3,0
J. India,CIN,32,138,138,25,2
L. Maile,CIN,20,58,58,7,1
N. Martini,CIN,29,86,86,14,3
S. Steer,CIN,37,155,155,31,4
T. Stephenson,CIN,28,94,94,18,4
B. Thompson,CIN,17,18,18,2,0
N. Ahmed,SFG,36,119,119,26,0
P. Bailey,SFG,25,91,91,22,3
M. Chapman,SFG,38,157,157,31,4
M. Conforto,SFG,36,149,149,38,7
T. Estrada,SFG,38,148,148,35,5
T. Fitzgerald,SFG,18,44,44,11,1
W. Flores,SFG,33,107,107,19,1
J. Hoo,SFG,36,158,158,38,2
L. Matos,SFG,1,4,4,0,0
T. Murphy,SFG,13,38,38,4,1
H. Ramos,SFG,2,5,5,1,0
J. Reetz,SFG,3,7,7,1,1
B. Sabol,SFG,5,17,17,6,0
A. Slater,SFG,24,48,48,5,0
J. Soler,SFG,34,136,136,24,5
L. Wade,SFG,37,110,110,29,1
M. Yastrzemski,SFG,31,92,92,19,3
L. Arráez,TOT,38,170,170,49,0
G. Cooper,TOT,18,64,64,12,1
R. Grossman,TOT,26,87,87,15,0
L. Guillorme,TOT,10,25,25,4,0
K. Pillar,TOT,23,49,49,9,3
Z. Short,TOT,12,19,19,1,0
T. Trammell,TOT,10,8,8,1,0
